zip5	COUNT(DISTINCT sp_id)	cecclmzn	climate	GCOUNTY	WTHRSTN	median_income	median_income_quantiles
95698	5	Z12	S	YOLO	SACRAMENTO	127308	9
95699	1	Z12	S	AMADOR	ANGELS CAMP	127308	9
95701	14	Z16	Y	PLACER	AUBURN	46250	5
95703	39	Z11	P	PLACER	AUBURN	57992	6
95709	71	Z12	P	EL DORADO	AUBURN	46179	5
95713	243	Z11	P	PLACER	AUBURN	47467	5
95714	10	Z16	Y	PLACER	AUBURN	58750	6
95715	6	Z16	Y	PLACER	AUBURN	42500	4
95717	2	Z16	Y	PLACER	AUBURN	31607	3
95720	5	Z16	Y	EL DORADO	AUBURN	31429	2
95722	114	Z11	P	PLACER	AUBURN	60868	7
95726	115	Z16	Y	EL DORADO	AUBURN	45991	5
95728	68	Z16	Z	PLACER	AUBURN	67569	7
95736	10	Z11	P	PLACER	AUBURN	36250	3
95746	434	Z11	S	PLACER	SACRAMENTO	100986	9
95747	7	Z11	S	PLACER	SACRAMENTO	62922	7
95762	629	Z12	S	EL DORADO	AUBURN	91529	9
95765	1285	Z11	S	PLACER	SACRAMENTO	83095	8
95776	800	Z12	S	YOLO	SACRAMENTO	46999	5
95815	1	Z12	S	YOLO	SACRAMENTO	25970	2
95901	682	Z11	S	YUBA	MARYSVILLE	29395	2
95916	5	Z11	P	BUTTE	CHICO	29883	2
95917	2	Z11	S	BUTTE	CHICO	36950	3
95918	4	Z11	S	YUBA	MARYSVILLE	42467	4
95926	385	Z11	S	BUTTE	CHICO	28831	2
95928	258	Z11	S	BUTTE	CHICO	30536	2
95935	9	Z11	P	YUBA	MARYSVILLE	24750	2
95938	43	Z11	S	BUTTE	CHICO	51290	6
95942	12	Z16	P	BUTTE	CHICO	55875	6
95945	226	Z11	P	NEVADA	AUBURN	33629	3
95946	104	Z11	P	NEVADA	AUBURN	50591	5
95948	14	Z11	S	BUTTE	CHICO	30354	2
95949	84	Z11	P	NEVADA	AUBURN	50816	6
95953	186	Z11	S	SUTTER	MARYSVILLE	30030	2
95954	11	Z11	P	BUTTE	CHICO	32813	3
95959	408	Z11	P	NEVADA	AUBURN	45803	5
95960	4	Z11	P	NEVADA	AUBURN	41875	4
95961	316	Z11	S	YUBA	MARYSVILLE	27420	2
95962	22	Z11	P	YUBA	MARYSVILLE	40238	4
95965	59	Z11	S	BUTTE	CHICO	24523	2
95966	89	Z11	S	BUTTE	CHICO	31814	3
95968	10	Z11	S	BUTTE	CHICO	31168	2
95969	193	Z11	P	BUTTE	CHICO	31826	3
95973	351	Z11	S	BUTTE	CHICO	41111	4
95974	2	Z11	S	BUTTE	CHICO	47813	5
95975	5	Z11	P	NEVADA	AUBURN	44643	5
95977	6	Z11	P	NEVADA	AUBURN	46141	5
95982	45	Z11	S	SUTTER	MARYSVILLE	42903	4
95991	724	Z11	S	SUTTER	MARYSVILLE	33182	3
95993	314	Z11	S	SUTTER	MARYSVILLE	47099	5
